No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
No,분류,분류,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
87,경기,경의권,고양시,고양시,91.31,91.30,91.52,91.73,91.79,91.76,91.66,91.52,91.36,91.21
88,경기,경의권,고양시,덕양구,91.26,91.44,91.81,91.95,92.12,92.22,92.15,91.96,91.72,91.54
89,경기,경의권,고양시,일산동구,93.96,93.88,94.03,94.37,94.61,94.60,94.47,94.32,94.22,93.93
90,경기,경의권,고양시,일산서구,89.20,88.96,89.02,89.23,89.00,88.77,88.65,88.57,88.50,88.49
91,경기,경의권,파주시,파주시,95.06,94.95,95.18,95.42,95.59,95.68,95.54,95.52,95.42,95.16
92,경기,경원권,경원권,경원권,89.84,89.90,89.98,90.05,90.08,90.09,90.05,89.98,89.88,89.83
93,경기,경원권,포천시,포천시,98.50,98.68,98.77,98.85,98.95,99.04,98.96,98.95,98.87,98.84
94,경기,경원권,동두천시,동두천시,89.03,89.14,89.21,89.23,89.16,89.10,88.98,88.89,88.82,88.75
95,경기,경원권,양주시,양주시,87.31,87.30,87.36,87.52,87.58,87.72,87.71,87.70,87.65,87.66
96,경기,경원권,의정부시,의정부시,88.07,88.13,88.20,88.23,88.26,88.21,88.18,88.07,87.92,87.84
97,인천,인천,인천,인천,94.02,94.22,94.63,94.83,94.90,94.84,94.59,94.37,94.18,94.03
98,인천,중구,중구,중구,96.51,96.81,97.09,97.30,97.33,97.19,96.81,96.52,96.45,96.43
No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
No,분류,분류,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,전국,전국,전국,전국,95.75,95.90,96.13,96.30,96.37,96.37,96.30,96.21,96.15,96.17
2,수도권,수도권,수도권,수도권,95.36,95.75,96.26,96.64,96.85,96.95,96.95,96.89,96.88,97.03
3,지방권,지방권,지방권,지방권,96.10,96.02,95.98,95.95,95.89,95.81,95.68,95.55,95.46,95.34
4,6대광역시,6대광역시,6대광역시,6대광역시,91.74,91.65,91.65,91.64,91.55,91.43,91.24,91.04,90.88,90.72
5,5대광역시,5대광역시,5대광역시,5대광역시,91.05,90.87,90.76,90.68,90.55,90.41,90.23,90.04,89.89,89.72
6,9개도,9개도,9개도,9개도,97.48,97.57,97.74,97.89,97.97,97.98,97.93,97.85,97.78,97.73
7,8개도,8개도,8개도,8개도,99.86,99.85,99.88,99.88,99.88,99.84,99.75,99.66,99.61,99.54
8,서울,서울,서울,서울,97.12,97.86,98.67,99.20,99.53,99.73,99.82,99.85,100.04,100.56
9,서울,강북지역,강북지역,강북지역,95.69,96.29,96.95,97.43,97.74,97.94,98.02,98.04,98.08,98.30
10,서울,강북지역,도심권,도심권,99.73,100.49,101.22,101.77,102.17,102.47,102.64,102.76,102.93,103.37
11,서울,강북지역,도심권,종로구,99.30,99.79,100.22,100.53,100.75,100.97,101.09,101.15,101.24,101.48
12,서울,강북지역,도심권,중구,95.06,95.67,96.25,96.67,96.99,97.27,97.41,97.50,97.58,97.74
13,서울,강북지역,도심권,용산구,102.43,103.43,104.45,105.21,105.77,106.13,106.36,106.54,106.80,107.52
14,서울,강북지역,동북권,동북권,94.69,95.23,95.87,96.34,96.62,96.78,96.84,96.84,96.86,97.02
15,서울,강북지역,동북권,성동구,100.52,102.47,104.52,105.47,106.05,106.45,106.58,106.69,106.83,107.79
16,서울,강북지역,동북권,광진구,98.09,98.67,99.38,100.03,100.41,100.58,100.72,100.87,101.02,101.44
17,서울,강북지역,동북권,동대문구,96.26,96.96,97.65,98.12,98.41,98.57,98.63,98.63,98.62,98.70
18,서울,강북지역,동북권,중랑구,96.20,96.64,97.16,97.50,97.86,98.06,98.09,98.08,98.08,98.13
19,서울,강북지역,동북권,성북구,94.66,95.23,95.84,96.33,96.63,96.82,96.92,96.93,96.98,97.11
20,서울,강북지역,동북권,강북구,95.77,95.94,96.25,96.53,96.66,96.72,96.75,96.72,96.70,96.75
21,서울,강북지역,동북권,도봉구,91.09,91.23,91.47,91.72,91.81,91.94,91.96,91.92,91.88,91.92
22,서울,강북지역,동북권,노원구,90.19,90.51,91.03,91.50,91.71,91.83,91.84,91.76,91.69,91.68
23,서울,강북지역,서북권,서북권,96.51,97.22,97.88,98.35,98.72,98.96,99.06,99.09,99.15,99.42
24,서울,강북지역,서북권,은평구,96.03,96.49,96.86,97.19,97.46,97.65,97.73,97.73,97.71,97.77
25,서울,강북지역,서북권,서대문구,95.15,95.90,96.55,96.99,97.36,97.58,97.65,97.69,97.78,98.00
26,서울,강북지역,서북권,마포구,98.30,99.32,100.37,101.07,101.58,101.89,102.04,102.12,102.25,102.85
27,서울,강남지역,강남지역,강남지역,98.49,99.35,100.31,100.91,101.25,101.46,101.54,101.59,101.92,102.73
28,서울,강남지역,서남권,서남권,96.22,96.75,97.35,97.70,97.92,98.04,98.08,98.08,98.14,98.39
29,서울,강남지역,서남권,양천구,98.69,99.22,99.85,100.27,100.58,100.79,100.92,100.97,101.08,101.70
30,서울,강남지역,서남권,강서구,94.06,94.38,94.84,95.12,95.31,95.40,95.48,95.51,95.58,95.68
31,서울,강남지역,서남권,구로구,95.27,95.83,96.40,96.75,96.87,96.90,96.82,96.75,96.72,96.75
32,서울,강남지역,서남권,금천구,94.21,94.47,94.78,95.03,95.15,95.24,95.22,95.19,95.18,95.21
33,서울,강남지역,서남권,영등포구,96.84,97.76,98.83,99.43,99.87,100.15,100.31,100.39,100.50,100.95
34,서울,강남지역,서남권,동작구,98.77,99.63,100.49,100.89,101.11,101.21,101.21,101.16,101.28,101.79
35,서울,강남지역,서남권,관악구,95.73,96.03,96.34,96.54,96.66,96.75,96.69,96.66,96.68,96.73
36,서울,강남지역,동남권,동남권,101.61,102.95,104.42,105.35,105.88,106.20,106.37,106.49,107.19,108.84
37,서울,강남지역,동남권,서초구,104.07,105.69,107.68,108.93,109.60,109.98,110.21,110.38,111.20,112.98
38,서울,강남지역,동남권,강남구,102.09,103.22,104.62,105.74,106.60,107.18,107.44,107.49,108.22,110.39
39,서울,강남지역,동남권,송파구,101.65,103.22,104.86,105.80,106.15,106.35,106.52,106.75,107.75,109.59
40,서울,강남지역,동남권,강동구,98.42,99.39,100.25,100.69,100.96,101.13,101.13,101.11,101.27,101.93
41,경기,경기,경기,경기,94.51,94.71,95.06,95.37,95.54,95.62,95.62,95.54,95.44,95.43
42,경기,경부1권,경부1권,경부1권,95.23,95.75,96.38,96.95,97.27,97.47,97.62,97.67,97.61,97.83
43,경기,경부1권,과천시,과천시,94.77,96.29,97.60,98.58,99.22,99.58,99.86,100.09,100.50,102.86
44,경기,경부1권,안양시,안양시,94.80,94.91,95.26,95.71,95.99,96.40,96.73,97.00,96.92,96.94
45,경기,경부1권,안양시,만안구,96.10,95.99,96.11,96.27,96.39,96.73,97.08,97.30,97.01,96.68
46,경기,경부1권,안양시,동안구,93.87,94.14,94.65,95.29,95.70,96.15,96.47,96.77,96.84,97.12
47,경기,경부1권,성남시,성남시,97.69,98.57,99.58,100.43,100.90,101.01,101.10,101.04,100.98,101.28
48,경기,경부1권,성남시,수정구,99.21,99.79,100.59,101.28,101.76,101.95,101.89,101.99,101.99,102.30
49,경기,경부1권,성남시,중원구,95.97,96.24,96.65,97.06,97.71,97.88,98.06,98.01,97.83,97.88
50,경기,경부1권,성남시,분당구,97.85,99.09,100.43,101.54,101.92,101.98,102.08,101.96,101.92,102.33
51,경기,경부1권,군포시,군포시,92.25,92.61,92.83,92.97,93.05,93.10,93.05,92.98,92.87,92.81
52,경기,경부1권,의왕시,의왕시,90.50,90.73,91.13,91.38,91.45,91.51,91.56,91.45,91.37,91.55
53,경기,경부2권,경부2권,경부2권,95.36,95.62,96.03,96.38,96.56,96.67,96.73,96.74,96.74,96.85
54,경기,경부2권,안성시,안성시,100.47,100.29,100.21,100.12,100.09,99.97,99.82,99.66,99.45,99.13
55,경기,경부2권,용인시,용인시,94.70,94.85,95.21,95.50,95.67,95.76,95.82,95.78,95.80,96.00
56,경기,경부2권,용인시,처인구,104.35,103.96,103.84,103.92,104.12,104.19,104.08,104.01,104.01,103.98
57,경기,경부2권,용인시,기흥구,92.22,92.34,92.65,92.93,93.07,93.16,93.29,93.19,93.11,93.16
58,경기,경부2권,용인시,수지구,90.86,91.40,92.10,92.55,92.73,92.81,92.92,92.97,93.10,93.60
59,경기,경부2권,수원시,수원시,95.09,95.52,96.07,96.53,96.77,96.93,97.04,97.12,97.15,97.24
60,경기,경부2권,수원시,장안구,95.86,96.19,96.68,97.16,97.39,97.57,97.69,97.81,97.92,98.00
61,경기,경부2권,수원시,권선구,95.75,96.02,96.42,96.61,96.75,96.85,96.91,96.99,97.04,97.03
62,경기,경부2권,수원시,팔달구,97.29,97.71,98.21,98.53,98.71,98.87,98.93,98.99,99.03,99.15
63,경기,경부2권,수원시,영통구,92.56,93.22,94.00,94.81,95.18,95.39,95.55,95.61,95.55,95.76
64,경기,서해안권,서해안권,서해안권,96.27,96.47,96.77,97.09,97.30,97.38,97.39,97.24,97.10,97.01
65,경기,서해안권,부천시,부천시,97.38,97.69,97.91,98.11,98.28,98.44,98.53,98.59,98.62,98.54
66,경기,서해안권,부천시,원미구,96.96,97.30,97.54,97.80,98.02,98.27,98.40,98.51,98.66,98.62
67,경기,서해안권,부천시,소사구,96.44,96.74,97.07,97.31,97.55,97.68,97.78,97.82,97.72,97.51
68,경기,서해안권,부천시,오정구,99.04,99.26,99.32,99.32,99.33,99.32,99.30,99.29,99.25,99.24
69,경기,서해안권,안산시,안산시,96.12,96.11,96.28,96.74,97.08,97.24,97.29,97.24,97.22,97.17
70,경기,서해안권,안산시,상록구,98.79,98.77,98.88,99.36,99.78,99.98,100.06,99.97,99.96,99.89
71,경기,서해안권,안산시,단원구,93.19,93.20,93.43,93.86,94.12,94.23,94.26,94.24,94.21,94.19
72,경기,서해안권,시흥시,시흥시,93.22,93.50,93.90,94.20,94.50,94.58,94.52,94.40,94.31,94.37
73,경기,서해안권,광명시,광명시,92.77,93.14,93.63,94.26,94.49,94.68,94.72,94.32,93.82,93.39
74,경기,서해안권,화성시,화성시,95.20,95.64,96.37,96.94,97.30,97.44,97.55,97.46,97.45,97.59
75,경기,서해안권,오산시,오산시,95.96,95.90,96.00,96.24,96.36,96.27,96.23,96.06,95.95,95.69
76,경기,서해안권,평택시,평택시,101.44,101.33,101.26,101.19,101.10,100.92,100.70,100.23,99.71,99.36
77,경기,동부1권,동부1권,동부1권,91.71,91.83,92.23,92.58,92.69,92.76,92.67,92.57,92.50,92.54
78,경기,동부1권,남양주시,남양주시,89.59,89.68,89.99,90.30,90.45,90.57,90.49,90.39,90.30,90.21
79,경기,동부1권,구리시,구리시,94.94,95.07,95.30,95.56,95.74,95.96,95.91,95.86,95.78,95.76
80,경기,동부1권,하남시,하남시,91.92,92.22,93.45,94.41,94.78,94.94,94.83,94.69,94.74,94.97
81,경기,동부1권,광주시,광주시,93.90,93.95,94.08,94.20,94.09,93.95,93.83,93.72,93.63,93.79
82,경기,동부2권,동부2권,동부2권,101.69,101.72,101.79,101.87,101.96,101.90,101.85,101.73,101.67,101.54
83,경기,동부2권,이천시,이천시,102.78,102.62,102.55,102.47,102.41,102.05,101.88,101.60,101.39,101.05
84,경기,동부2권,여주시,여주시,101.20,101.35,101.38,101.51,101.78,101.98,101.87,101.83,101.92,101.93
85,경기,경의권,경의권,경의권,91.87,91.88,92.11,92.32,92.36,92.36,92.25,92.11,91.93,91.70
86,경기,경의권,김포시,김포시,90.21,90.36,90.61,90.79,90.65,90.66,90.52,90.30,90.00,89.61
87,경기,경의권,고양시,고양시,91.31,91.30,91.52,91.73,91.79,91.76,91.66,91.52,91.36,91.21
88,경기,경의권,고양시,덕양구,91.26,91.44,91.81,91.95,92.12,92.22,92.15,91.96,91.72,91.54
89,경기,경의권,고양시,일산동구,93.96,93.88,94.03,94.37,94.61,94.60,94.47,94.32,94.22,93.93
90,경기,경의권,고양시,일산서구,89.20,88.96,89.02,89.23,89.00,88.77,88.65,88.57,88.50,88.49
91,경기,경의권,파주시,파주시,95.06,94.95,95.18,95.42,95.59,95.68,95.54,95.52,95.42,95.16
92,경기,경원권,경원권,경원권,89.84,89.90,89.98,90.05,90.08,90.09,90.05,89.98,89.88,89.83
93,경기,경원권,포천시,포천시,98.50,98.68,98.77,98.85,98.95,99.04,98.96,98.95,98.87,98.84
94,경기,경원권,동두천시,동두천시,89.03,89.14,89.21,89.23,89.16,89.10,88.98,88.89,88.82,88.75
95,경기,경원권,양주시,양주시,87.31,87.30,87.36,87.52,87.58,87.72,87.71,87.70,87.65,87.66
96,경기,경원권,의정부시,의정부시,88.07,88.13,88.20,88.23,88.26,88.21,88.18,88.07,87.92,87.84
97,인천,인천,인천,인천,94.02,94.22,94.63,94.83,94.90,94.84,94.59,94.37,94.18,94.03
98,인천,중구,중구,중구,96.51,96.81,97.09,97.30,97.33,97.19,96.81,96.52,96.45,96.43
99,인천,동구,동구,동구,95.94,96.15,96.61,97.00,97.13,97.10,96.92,96.81,96.73,96.67
100,인천,미추홀구,미추홀구,미추홀구,95.39,95.52,95.91,96.06,96.20,95.91,95.73,95.55,95.45,95.44
101,인천,연수구,연수구,연수구,92.84,92.91,92.96,93.01,92.96,92.86,92.60,92.29,91.99,91.64
102,인천,남동구,남동구,남동구,92.11,92.33,92.70,92.82,92.83,92.66,92.35,91.96,91.75,91.70
103,인천,부평구,부평구,부평구,92.71,92.81,93.17,93.21,93.14,93.10,92.86,92.81,92.74,92.73
104,인천,계양구,계양구,계양구,95.21,95.27,95.37,95.46,95.51,95.47,95.11,94.72,94.42,94.17
105,인천,서구,서구,서구,93.50,93.96,94.90,95.46,95.75,95.96,95.74,95.62,95.36,95.05
106,부산,부산,부산,부산,91.91,91.76,91.67,91.61,91.45,91.29,91.13,90.96,90.83,90.67
107,부산,중부산권,중부산권,중부산권,91.44,91.31,91.27,91.25,91.12,90.99,90.86,90.75,90.70,90.59
108,부산,중부산권,중구,중구,98.28,98.19,98.15,98.09,98.01,97.71,97.58,97.49,97.35,97.30
109,부산,중부산권,서구,서구,95.64,95.62,95.62,95.57,95.50,95.42,95.30,95.23,95.17,95.10
110,부산,중부산권,동구,동구,92.20,92.09,92.03,91.97,91.89,91.75,91.65,91.45,91.30,91.14
111,부산,중부산권,영도구,영도구,92.46,92.23,92.25,92.24,92.21,92.18,92.15,92.05,91.95,91.85
112,부산,중부산권,부산진구,부산진구,87.76,87.66,87.49,87.41,87.26,87.12,86.93,86.68,86.61,86.40
113,부산,중부산권,남구,남구,91.89,91.57,91.41,91.24,91.01,90.88,90.72,90.68,90.72,90.64
114,부산,중부산권,연제구,연제구,92.00,91.91,91.96,92.02,91.77,91.58,91.30,91.14,90.97,90.82
115,부산,중부산권,수영구,수영구,93.06,93.07,93.30,93.60,93.67,93.63,93.72,93.85,93.96,93.98
116,부산,동부산권,동부산권,동부산권,90.03,89.86,89.76,89.67,89.47,89.24,89.05,88.86,88.66,88.50
117,부산,동부산권,해운대구,해운대구,86.60,86.35,86.28,86.25,85.90,85.53,85.26,84.94,84.60,84.44
118,부산,동부산권,금정구,금정구,91.42,91.27,91.13,91.02,90.91,90.80,90.69,90.56,90.46,90.34
119,부산,동부산권,동래구,동래구,91.23,91.10,90.94,90.82,90.70,90.56,90.41,90.27,90.16,89.99
120,부산,동부산권,기장군,기장군,95.15,95.07,95.03,94.92,94.78,94.60,94.51,94.43,94.31,94.16
121,부산,서부산권,서부산권,서부산권,94.92,94.74,94.62,94.51,94.37,94.22,94.04,93.82,93.64,93.41
122,부산,서부산권,북구,북구,93.91,93.80,93.69,93.58,93.47,93.38,93.23,92.97,92.86,92.64
123,부산,서부산권,강서구,강서구,91.91,91.73,91.67,91.65,91.59,91.56,91.37,91.22,91.01,90.73
124,부산,서부산권,사상구,사상구,94.70,94.38,94.25,94.18,94.01,93.82,93.63,93.46,93.24,92.99
125,부산,서부산권,사하구,사하구,96.98,96.84,96.68,96.51,96.34,96.13,95.92,95.68,95.48,95.26
126,대구,대구,대구,대구,84.15,83.81,83.54,83.34,83.12,82.86,82.53,82.17,81.90,81.62
127,대구,중구,중구,중구,86.85,86.50,86.20,85.92,85.74,85.65,85.41,85.10,84.88,84.61
128,대구,동구,동구,동구,86.81,86.48,86.23,86.01,85.82,85.54,85.26,84.85,84.66,84.37
129,대구,서구,서구,서구,90.87,90.54,90.31,90.11,89.92,89.74,89.44,89.14,88.87,88.63
